,DRIVER_ID,AGE,NUMBER_OF_TRIPS,SAFETY_SCORE,REWARD_POINTS,TOTAL_MILES_DONE,MILES_IN_URBAN,MILES_IN_NIGHT,MILES DONE IN RURAL,ACCELERATION,BRAKING,CORNERING,SPEEDING,SEATBELT,DISTRACTION,NUMBER_OF_TICKETS_RECEIVED
0,1200,30,567,85,3191,32492,311328,302031,416859,8,17,36,52,49,72,23
1,1201,24,576,76,4774,642387,344513,28573,624664,69,12,74,62,26,33,14
2,1202,42,644,51,7601,526499,382948,520331,1534430,60,56,51,10,45,72,16
3,1203,51,646,93,4737,485974,211798,537444,1248697,68,66,2,51,32,6,23
4,1204,27,835,50,1374,791787,61159,311399,1322251,11,74,26,63,45,47,5
5,1205,42,451,96,2791,577280,603266,253253,1572528,13,58,51,32,32,14,20
6,1206,38,774,52,1619,549266,668774,289561,1746742,16,14,60,28,46,2,15
7,1207,38,833,63,4876,450000,328542,687948,1390542,63,36,11,38,7,47,1
8,1208,18,190,54,4097,515848,341531,687900,1745503,34,71,29,17,15,59,6
9,1209,47,361,91,611,334986,18209,768864,1009101,35,22,55,72,57,6,6
10,1210,27,252,65,8941,533429,512971,505409,1485557,55,41,42,41,2,1,14
11,1211,47,917,46,3498,89074,238510,602268,819667,4,67,62,57,57,64,3
12,1212,27,369,46,9655,445903,326997,40797,572677,55,39,31,38,17,20,7
13,1213,26,42,72,4054,737920,280142,491535,1680884,67,18,25,53,66,45,13
14,1214,28,273,75,2930,819141,831456,691223,2548725,58,14,62,28,14,0,15
15,1215,42,346,59,6442,632898,384808,610797,1556992,34,35,10,48,10,70,13
16,1216,38,634,72,2052,706769,102157,155989,702484,62,64,67,27,7,10,16
17,1217,35,97,85,3201,323601,441283,336669,945773,52,64,58,51,11,16,19
18,1218,45,403,51,3928,211636,47012,633480,739005,57,56,74,6,6,33,5
19,1219,52,115,59,307,339112,307819,753574,1441511,16,17,22,2,73,23,11
20,1220,49,310,65,9762,396319,300952,438854,1158839,58,57,6,57,70,9,1
21,1221,35,73,95,2151,685251,331641,430108,1479386,7,57,14,55,0,64,11
22,1222,30,325,56,8493,692679,223914,554186,1525374,36,23,4,56,72,54,21
23,1223,42,391,78,5121,711966,616294,503408,1691778,43,56,43,9,16,51,15
24,1224,50,971,77,7563,352600,654835,715024,1696405,51,64,68,38,28,46,10
25,1225,54,284,48,6732,169557,896558,263686,1388641,59,39,65,31,48,46,13
26,1226,19,760,79,9391,537831,720153,279258,1474877,71,49,71,57,25,67,2
27,1227,52,602,86,3019,464861,750568,170126,1521638,63,64,40,46,49,33,11
28,1228,38,656,88,3217,41130,772561,915705,1678020,43,15,51,27,65,70,20
29,1229,26,90,54,8856,425713,473374,314389,1097885,53,3,47,50,27,55,7
30,1230,50,304,82,5092,464958,519412,458786,1569127,24,34,31,19,35,59,20
31,1231,34,876,87,9017,594227,203899,844288,1702583,35,27,74,40,60,28,10
32,1232,31,744,68,5034,770878,767392,930517,2493683,56,42,13,72,52,32,9
33,1233,49,148,88,1236,781713,801446,481857,1955641,14,12,61,15,18,36,1
34,1234,19,173,92,9205,155897,874300,499940,1199398,72,57,1,57,60,48,11
35,1235,48,576,75,9282,361576,327976,711123,1061626,31,65,1,73,66,29,15
36,1236,43,712,71,7507,946853,554141,312671,1877751,40,40,2,3,59,26,20
37,1237,50,843,50,2180,810598,477802,258390,1587535,26,57,34,29,43,56,19
38,1238,34,172,69,4744,556192,381707,264796,1100868,11,71,22,9,51,72,14
39,1239,50,449,66,9585,587561,284616,557101,1298561,61,59,30,72,30,34,10
40,1240,39,276,74,8194,418526,484499,270098,1216256,40,73,36,48,54,10,2
41,1241,23,302,83,3080,566689,157741,430602,990196,30,50,36,7,38,30,21
42,1242,30,844,46,130,781527,516774,597371,2260658,25,49,14,7,41,16,14
43,1243,48,792,53,3971,370120,945223,292647,1677784,13,3,40,1,47,14,14
44,1244,48,255,81,9620,347708,571654,134894,1071740,30,48,38,19,46,62,1
45,1245,52,702,87,4569,773741,517109,700578,1954126,52,37,12,25,3,43,3
46,1246,20,615,50,8663,62669,143594,518987,537012,28,14,8,20,64,67,18
47,1247,28,56,47,1233,530487,552511,391543,1418743,32,13,66,29,43,73,22
48,1248,45,168,76,153,867125,320838,311451,1662654,72,7,9,6,47,11,6
49,1249,53,425,73,2223,600980,51816,369709,726776,42,22,45,38,23,53,11
50,1250,54,218,89,2134,681987,615505,415100,1847419,54,35,73,21,17,20,8
51,1251,49,471,48,3719,490706,988912,886804,2701869,46,13,28,31,50,50,11
52,1252,37,156,80,9083,382527,420783,620705,1449155,40,35,64,57,55,49,5
53,1253,27,262,68,1004,428748,360160,553476,1312931,13,6,73,9,40,35,22
54,1254,26,357,67,7100,576110,718596,265741,1564411,46,4,62,2,36,49,21
55,1255,44,803,79,7372,847283,448565,185564,1876425,28,15,25,50,62,64,16
56,1256,42,851,71,7959,410559,641630,781812,1952937,65,28,25,51,67,18,3
57,1257,40,38,45,8028,420900,302847,119168,573259,68,62,39,59,9,50,22
58,1258,44,468,89,2603,439095,396276,560137,1399277,67,73,22,24,20,56,6
59,1259,22,664,74,2992,573836,338304,350624,1188096,50,27,70,63,5,52,2
60,1260,19,865,67,5463,648436,28654,432975,749216,13,74,27,43,44,69,10
61,1261,40,547,55,4590,848950,538541,724476,2238583,69,1,18,49,55,56,17
62,1262,20,821,54,1904,671646,249115,760763,1986473,47,50,69,13,31,39,10
63,1263,42,631,74,4535,951508,725717,364597,1930265,38,65,0,27,60,5,2
64,1264,34,673,71,68,596728,374736,339498,1139768,33,63,50,11,10,33,1
65,1265,54,564,96,4706,612485,392942,305522,1183685,42,52,8,27,28,9,5
66,1266,27,81,54,2421,570721,519023,594722,1746621,5,6,53,26,54,3,24
67,1267,28,384,84,3915,389387,571600,215701,1081148,36,25,71,8,33,17,7
68,1268,22,508,98,107,810875,634932,595925,1996497,41,19,27,54,41,36,11
